Grid Size ,64
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,1,1,20,2.1875000000000036,2.1875,0,-25.156258,-66.71874199999999,0
0,1,0,20,2.1875000000000036,2.187500000000014,0,-25.156258,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,22,2.187502000000002,2.187500000000014,0,-20.781257,-68.90624199999999,0
0,1,1,22,2.1875019999999985,2.1875,0,-20.781255,-66.71874199999999,0
0,1,1,21,2.1875019999999985,2.1875,0,-22.968756999999997,-66.71874199999999,0
0,0,0,22,2.187502000000002,2.187500000000014,0,-20.781257,-68.90624199999999,0
0,1,1,21,2.1875019999999985,2.1875,0,-22.968756999999997,-66.71874199999999,0
0,1,0,21,2.1874999999999964,2.187500000000014,0,-22.968758,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,23,2.1875019999999985,2.187500000000014,0,-18.593755,-68.90624199999999,0
0,1,1,23,2.1875,2.1875,0,-18.593754,-66.71874199999999,0
0,1,1,22,2.1875019999999985,2.1875,0,-20.781255,-66.71874199999999,0
0,0,0,23,2.1875019999999985,2.187500000000014,0,-18.593755,-68.90624199999999,0
0,1,1,22,2.1875019999999985,2.1875,0,-20.781255,-66.71874199999999,0
0,1,0,22,2.187502000000002,2.187500000000014,0,-20.781257,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,24,2.1874999999999982,2.187500000000014,0,-16.406254,-68.90624199999999,0
0,1,1,24,2.1874999999999982,2.1875,0,-16.406254,-66.71874199999999,0
0,1,1,23,2.1875,2.1875,0,-18.593754,-66.71874199999999,0
0,0,0,24,2.1874999999999982,2.187500000000014,0,-16.406254,-68.90624199999999,0
0,1,1,23,2.1875,2.1875,0,-18.593754,-66.71874199999999,0
0,1,0,23,2.1875019999999985,2.187500000000014,0,-18.593755,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,25,2.1874990000000025,2.187500000000014,0,-14.218754500000001,-68.90624199999999,0
0,1,1,25,2.1875000000000018,2.1875,0,-14.218754,-66.71874199999999,0
0,1,1,24,2.1874999999999982,2.1875,0,-16.406254,-66.71874199999999,0
0,0,0,25,2.1874990000000025,2.187500000000014,0,-14.218754500000001,-68.90624199999999,0
0,1,1,24,2.1874999999999982,2.1875,0,-16.406254,-66.71874199999999,0
0,1,0,24,2.1874999999999982,2.187500000000014,0,-16.406254,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,26,2.1875009999999993,2.187500000000014,0,-12.0312545,-68.90624199999999,0
0,1,1,26,2.1875,2.1875,0,-12.031254,-66.71874199999999,0
0,1,1,25,2.1875000000000018,2.1875,0,-14.218754,-66.71874199999999,0
0,0,0,26,2.1875009999999993,2.187500000000014,0,-12.0312545,-68.90624199999999,0
0,1,1,25,2.1875000000000018,2.1875,0,-14.218754,-66.71874199999999,0
0,1,0,25,2.1874990000000025,2.187500000000014,0,-14.218754500000001,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,27,2.1875,2.187500000000014,0,-9.843754,-68.90624199999999,0
0,1,1,27,2.1875,2.1875,0,-9.843754,-66.71874199999999,0
0,1,1,26,2.1875,2.1875,0,-12.031254,-66.71874199999999,0
0,0,0,27,2.1875,2.187500000000014,0,-9.843754,-68.90624199999999,0
0,1,1,26,2.1875,2.1875,0,-12.031254,-66.71874199999999,0
0,1,0,26,2.1875009999999993,2.187500000000014,0,-12.0312545,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,28,2.1875000000000018,2.187500000000014,0,-7.656254,-68.90624199999999,0
0,1,1,28,2.1875000000000018,2.1875,0,-7.656254,-66.71874199999999,0
0,1,1,27,2.1875,2.1875,0,-9.843754,-66.71874199999999,0
0,0,0,28,2.1875000000000018,2.187500000000014,0,-7.656254,-68.90624199999999,0
0,1,1,27,2.1875,2.1875,0,-9.843754,-66.71874199999999,0
0,1,0,27,2.1875,2.187500000000014,0,-9.843754,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,29,2.187499999999999,2.187500000000014,0,-5.468753999999999,-68.90624199999999,0
0,1,1,29,2.187499999999999,2.1875,0,-5.468753999999999,-66.71874199999999,0
0,1,1,28,2.1875000000000018,2.1875,0,-7.656254,-66.71874199999999,0
0,0,0,29,2.187499999999999,2.187500000000014,0,-5.468753999999999,-68.90624199999999,0
0,1,1,28,2.1875000000000018,2.1875,0,-7.656254,-66.71874199999999,0
0,1,0,28,2.1875000000000018,2.187500000000014,0,-7.656254,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,30,2.187499999999999,2.187500000000014,0,-3.281254,-68.90624199999999,0
0,1,1,30,2.187499999999999,2.1875,0,-3.281254,-66.71874199999999,0
0,1,1,29,2.187499999999999,2.1875,0,-5.468753999999999,-66.71874199999999,0
0,0,0,30,2.187499999999999,2.187500000000014,0,-3.281254,-68.90624199999999,0
0,1,1,29,2.187499999999999,2.1875,0,-5.468753999999999,-66.71874199999999,0
0,1,0,29,2.187499999999999,2.187500000000014,0,-5.468753999999999,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,31,2.1875000000000004,2.187500000000014,0,-1.0937540000000003,-68.90624199999999,0
0,1,1,31,2.1875000000000004,2.1875,0,-1.0937540000000003,-66.71874199999999,0
0,1,1,30,2.187499999999999,2.1875,0,-3.281254,-66.71874199999999,0
0,0,0,31,2.1875000000000004,2.187500000000014,0,-1.0937540000000003,-68.90624199999999,0
0,1,1,30,2.187499999999999,2.1875,0,-3.281254,-66.71874199999999,0
0,1,0,30,2.187499999999999,2.187500000000014,0,-3.281254,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,32,2.1875000000000004,2.187500000000014,0,1.093746,-68.90624199999999,0
0,1,1,32,2.1875000000000004,2.1875,0,1.093746,-66.71874199999999,0
0,1,1,31,2.1875000000000004,2.1875,0,-1.0937540000000003,-66.71874199999999,0
0,0,0,32,2.1875000000000004,2.187500000000014,0,1.093746,-68.90624199999999,0
0,1,1,31,2.1875000000000004,2.1875,0,-1.0937540000000003,-66.71874199999999,0
0,1,0,31,2.1875000000000004,2.187500000000014,0,-1.0937540000000003,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,33,2.187499999999999,2.187500000000014,0,3.281246,-68.90624199999999,0
0,1,1,33,2.1875009999999993,2.1875,0,3.2812465,-66.71874199999999,0
0,1,1,32,2.1875000000000004,2.1875,0,1.093746,-66.71874199999999,0
0,0,0,33,2.187499999999999,2.187500000000014,0,3.281246,-68.90624199999999,0
0,1,1,32,2.1875000000000004,2.1875,0,1.093746,-66.71874199999999,0
0,1,0,32,2.1875000000000004,2.187500000000014,0,1.093746,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,34,2.187501,2.187500000000014,0,5.4687465,-68.90624199999999,0
0,1,1,34,2.1875,2.1875,0,5.468747,-66.71874199999999,0
0,1,1,33,2.1875009999999993,2.1875,0,3.2812465,-66.71874199999999,0
0,0,0,34,2.187501,2.187500000000014,0,5.4687465,-68.90624199999999,0
0,1,1,33,2.1875009999999993,2.1875,0,3.2812465,-66.71874199999999,0
0,1,0,33,2.187499999999999,2.187500000000014,0,3.281246,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,35,2.187499999999999,2.187500000000014,0,7.656246999999999,-68.90624199999999,0
0,1,1,35,2.187499999999999,2.1875,0,7.656246999999999,-66.71874199999999,0
0,1,1,34,2.1875,2.1875,0,5.468747,-66.71874199999999,0
0,0,0,35,2.187499999999999,2.187500000000014,0,7.656246999999999,-68.90624199999999,0
0,1,1,34,2.1875,2.1875,0,5.468747,-66.71874199999999,0
0,1,0,34,2.187501,2.187500000000014,0,5.4687465,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,36,2.187501000000001,2.187500000000014,0,9.8437475,-68.90624199999999,0
0,1,1,36,2.187501000000001,2.1875,0,9.8437475,-66.71874199999999,0
0,1,1,35,2.187499999999999,2.1875,0,7.656246999999999,-66.71874199999999,0
0,0,0,36,2.187501000000001,2.187500000000014,0,9.8437475,-68.90624199999999,0
0,1,1,35,2.187499999999999,2.1875,0,7.656246999999999,-66.71874199999999,0
0,1,0,35,2.187499999999999,2.187500000000014,0,7.656246999999999,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,37,2.1874999999999982,2.187500000000014,0,12.031247999999998,-68.90624199999999,0
0,1,1,37,2.1874999999999982,2.1875,0,12.031247999999998,-66.71874199999999,0
0,1,1,36,2.187501000000001,2.1875,0,9.8437475,-66.71874199999999,0
0,0,0,37,2.1874999999999982,2.187500000000014,0,12.031247999999998,-68.90624199999999,0
0,1,1,36,2.187501000000001,2.1875,0,9.8437475,-66.71874199999999,0
0,1,0,36,2.187501000000001,2.187500000000014,0,9.8437475,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,38,2.1875000000000036,2.187500000000014,0,14.218748,-68.90624199999999,0
0,1,1,38,2.1875000000000036,2.1875,0,14.218748,-66.71874199999999,0
0,1,1,37,2.1874999999999982,2.1875,0,12.031247999999998,-66.71874199999999,0
0,0,0,38,2.1875000000000036,2.187500000000014,0,14.218748,-68.90624199999999,0
0,1,1,37,2.1874999999999982,2.1875,0,12.031247999999998,-66.71874199999999,0
0,1,0,37,2.1874999999999982,2.187500000000014,0,12.031247999999998,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,39,2.1875,2.187500000000014,0,16.406248,-68.90624199999999,0
0,1,1,39,2.1875,2.1875,0,16.406248,-66.71874199999999,0
0,1,1,38,2.1875000000000036,2.1875,0,14.218748,-66.71874199999999,0
0,0,0,39,2.1875,2.187500000000014,0,16.406248,-68.90624199999999,0
0,1,1,38,2.1875000000000036,2.1875,0,14.218748,-66.71874199999999,0
0,1,0,38,2.1875000000000036,2.187500000000014,0,14.218748,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,40,2.1875019999999985,2.187500000000014,0,18.593749000000003,-68.90624199999999,0
0,1,1,40,2.1875019999999985,2.1875,0,18.593749000000003,-66.71874199999999,0
0,1,1,39,2.1875,2.1875,0,16.406248,-66.71874199999999,0
0,0,0,40,2.1875019999999985,2.187500000000014,0,18.593749000000003,-68.90624199999999,0
0,1,1,39,2.1875,2.1875,0,16.406248,-66.71874199999999,0
0,1,0,39,2.1875,2.187500000000014,0,16.406248,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,41,2.1875,2.187500000000014,0,20.78125,-68.90624199999999,0
0,1,1,41,2.1875,2.1875,0,20.78125,-66.71874199999999,0
0,1,1,40,2.1875019999999985,2.1875,0,18.593749000000003,-66.71874199999999,0
0,0,0,41,2.1875,2.187500000000014,0,20.78125,-68.90624199999999,0
0,1,1,40,2.1875019999999985,2.1875,0,18.593749000000003,-66.71874199999999,0
0,1,0,40,2.1875019999999985,2.187500000000014,0,18.593749000000003,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
